City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
107,Rumphi,MW,62.55,overcast clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
110,San Quintin,MX,59.36,clear sky,30.4833,-115.95,Don Eddie's Landing
113,Masaka,UG,65.08,overcast clouds,-0.3338,31.7341,Maria flo hotel
114,Camacha,PT,60.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
115,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
119,Juruti,BR,74.5,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
121,Nova Olimpia,BR,74.48,overcast clouds,-14.7972,-57.2881,Motel glamour
125,Port Alfred,ZA,68.74,light rain,-33.5906,26.891,The Halyards Hotel
127,Oxapampa,PE,59.77,overcast clouds,-10.5775,-75.4017,Hotel Heidinger
128,Wollongong,AU,73.8,overcast clouds,-34.4333,150.8833,Flinders Motel
132,Faya,SA,55.51,few clouds,18.3851,42.4509,املاك خالد الشعشوع
136,Hermanus,ZA,62.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
137,Lompoc,US,64.71,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
138,Hobart,AU,67.12,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
139,Tuatapere,NZ,55.81,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
140,Ndele,CF,71.01,clear sky,8.4109,20.6473,
141,Laguna,US,65.23,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
145,Kushalgarh,IN,57.54,clear sky,23.199,74.4507,नीलकंठ होटल डायनिंग हॉल
147,Kruisfontein,ZA,64.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
154,Tabuk,PH,72.48,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
156,Beloha,MG,74.37,scattered clouds,-25.1667,45.05,
160,Rosarito,MX,68.49,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
165,Mercedes,AR,73.02,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
171,Los Llanos De Aridane,ES,58.75,clear sky,28.6585,-17.9182,Valle Aridane
178,Port Elizabeth,ZA,67.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
180,La Union,PE,74.41,scattered clouds,-5.4,-80.75,Los Portales
182,Victoria,HK,59.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
183,Azare,NG,59.81,clear sky,11.6765,10.1948,Mallam Ayuba Compound
187,Xuddur,SO,67.78,scattered clouds,4.1213,43.8894,Banjanay Hotel
193,New Norfolk,AU,66.76,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
201,Lagoa,PT,57.96,overcast clouds,39.05,-27.9833,Casa Das Faias
202,Plettenberg Bay,ZA,62.44,clear sky,-34.0527,23.3716,Thanda Vista B&B
203,Castro,BR,65.46,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
204,Porto Santo,PT,62.98,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
206,Mlowo,TZ,57.61,light rain,-9.0,32.9833,Mchacho Drinks & Guest house
207,Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
211,San Vicente,AR,68.43,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
219,Dunedin,NZ,58.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
222,Celestun,MX,74.79,clear sky,20.8667,-90.4,Posada Lilia
226,Abeche,TD,62.82,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
235,Naze,JP,56.32,overcast clouds,28.3667,129.4833,Shishime Hotel
236,Coihaique,CL,66.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
237,Kaoma,ZM,62.98,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
239,Namibe,AO,71.11,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
240,Broken Hill,AU,74.91,broken clouds,-31.95,141.4333,Royal Exchange Hotel
242,Isla Vista,US,67.35,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
245,Sawtell,AU,73.72,broken clouds,-30.3833,153.1,The Bungalow Sawtell
247,Sinnar,SD,66.76,overcast clouds,13.5691,33.5672,هجو الطاهر
251,Gunnedah,AU,71.22,clear sky,-30.9833,150.25,Gunnedah Motor Inn
253,Kyabram,AU,74.88,clear sky,-36.3167,145.05,Kyabram Motor Inn
254,Bengkulu,ID,73.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
255,Puri,IN,61.32,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
256,Bilma,NE,56.53,clear sky,18.6853,12.9164,Expeditions Ténére voyages
260,Cordoba,AR,71.76,few clouds,-31.4135,-64.1811,Hotel Sussex
263,Ixtapa,MX,73.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
270,Chiredzi,ZW,69.96,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
272,Doha,QA,66.09,clear sky,25.2867,51.5333,Movenpick Hotel Doha
273,Hobyo,SO,74.93,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
275,Nandyal,IN,65.68,clear sky,15.4833,78.4833,Hotel Shobha
278,Songea,TZ,63.41,overcast clouds,-10.6833,35.65,mtakuja
283,Dutse,NG,58.98,clear sky,11.7594,9.3392,Central Mosque Galamawa
285,Lodja,CD,67.77,overcast clouds,-3.4833,23.4333,
286,Hirara,JP,62.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
