City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Moerai,PF,2022-02-03 17:44:51,-22.4333,-151.3333,78.76,76,83,12.95
170,Mayumba,GA,2022-02-03 17:44:51,-3.432,10.6554,76.82,84,99,3.09
171,Hofn,IS,2022-02-03 17:44:52,64.2539,-15.2082,28.42,59,75,27.63
172,Huron,US,2022-02-03 17:44:52,41.1501,-82.5499,26.08,92,100,18.16
173,Muyezerskiy,RU,2022-02-03 17:44:52,63.9333,31.65,-4.25,100,83,1.32
174,Leh,IN,2022-02-03 17:44:53,34.1667,77.5833,10.38,97,100,1.9
175,Samarai,PG,2022-02-03 17:44:53,-10.6167,150.6667,79.7,82,97,10.33
176,Bambous Virieux,MU,2022-02-03 17:40:16,-20.3428,57.7575,80.85,89,75,26.46
177,Ukiah,US,2022-02-03 17:41:55,39.1502,-123.2078,53.02,52,99,1.23
178,Constitucion,CL,2022-02-03 17:42:27,-35.3333,-72.4167,68.18,64,14,7.45
179,Dharchula,IN,2022-02-03 17:44:54,29.85,80.5333,43.29,99,100,1.12
180,Hilo,US,2022-02-03 17:40:06,19.7297,-155.09,70.39,55,0,8.05
181,Nome,US,2022-02-03 17:44:55,64.5011,-165.4064,6.87,57,0,29.93
182,Sarangani,PH,2022-02-03 17:45:55,5.4033,125.4636,81.34,71,100,15.17
183,Racine,US,2022-02-03 17:45:56,42.7495,-88.0751,17.96,69,100,8.01
184,Kaduy,RU,2022-02-03 17:45:57,59.2,37.15,3.99,100,88,1.1
185,Dumai,ID,2022-02-03 17:45:57,1.6833,101.45,73.11,97,42,2.68
186,Guisa,CU,2022-02-03 17:45:58,20.255,-76.5386,80.91,51,12,8.61
187,Charters Towers,AU,2022-02-03 17:45:58,-20.1,146.2667,73.38,92,100,5.06
188,San Joaquin,US,2022-02-03 17:45:59,37.9333,-121.3011,55.98,62,1,3.44
189,Saint-Augustin,CA,2022-02-03 17:44:02,51.226,-58.6502,33.51,99,100,18.97
190,Mahebourg,MU,2022-02-03 17:46:00,-20.4081,57.7,80.89,89,75,26.46
191,Tasiilaq,GL,2022-02-03 17:46:00,65.6145,-37.6368,10.56,58,56,7.31
192,Margate,GB,2022-02-03 17:46:01,51.3813,1.3862,49.96,77,93,12.84
193,San Ignacio,BZ,2022-02-03 17:42:03,17.1561,-89.0714,82.54,74,0,6.91
194,San Juan,AR,2022-02-03 17:46:02,-31.5375,-68.5364,88.86,27,1,10.18
195,Garissa,KE,2022-02-03 17:46:02,-0.4536,39.6401,92.61,29,84,5.97
196,Sao Sebastiao Do Paraiso,BR,2022-02-03 17:46:03,-20.9169,-46.9914,71.71,83,100,3.53
197,Katsuura,JP,2022-02-03 17:41:30,35.1333,140.3,43.2,61,97,13.62
198,Nanortalik,GL,2022-02-03 17:46:03,60.1432,-45.2371,29.86,69,100,17.16
199,Pisco,PE,2022-02-03 17:46:04,-13.7,-76.2167,74.01,78,0,6.91
200,Anori,BR,2022-02-03 17:46:05,-3.7728,-61.6442,77.54,91,100,1.95
201,Linden,GY,2022-02-03 17:45:16,6.0,-58.3,86.14,39,31,5.53
202,Aranos,NA,2022-02-03 17:46:05,-24.1333,19.1167,81.32,31,32,9.46
203,Clyde River,CA,2022-02-03 17:46:06,70.4692,-68.5914,-12.77,77,100,29.93
204,Boyolangu,ID,2022-02-03 17:46:06,-8.1181,111.8935,76.37,89,90,2.33
205,Illapel,CL,2022-02-03 17:46:07,-31.6308,-71.1653,79.34,42,0,10.02
206,Te Anau,NZ,2022-02-03 17:46:07,-45.4167,167.7167,47.25,97,100,3.56
207,Zabaykalsk,RU,2022-02-03 17:46:08,49.6333,117.3167,-17.61,95,13,6.26
208,Shaoyang,CN,2022-02-03 17:42:45,27.2315,111.4525,38.97,86,90,4.25
209,Leon,MX,2022-02-03 17:46:08,21.1167,-101.6667,73.81,26,0,9.31
210,Tongliao,CN,2022-02-03 17:46:09,43.6125,122.2653,-3.32,85,1,8.9
211,Sao Filipe,CV,2022-02-03 17:46:09,14.8961,-24.4956,75.2,68,0,7.65
212,Macas,EC,2022-02-03 17:46:10,-2.3167,-78.1167,69.55,88,75,2.3
213,Paignton,GB,2022-02-03 17:46:10,50.4357,-3.5679,51.12,89,60,7.0
