City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
243,Falam,MM,2022-02-05 00:57:47,22.9167,93.6833,46.06,74,94,4.5,overcast clouds
244,Khani,GE,2022-02-05 00:57:48,41.9563,42.9566,24.37,99,100,3.47,snow
245,Sawtell,AU,2022-02-05 00:57:48,-30.3833,153.1,73.72,82,75,18.41,broken clouds
246,Prince Rupert,CA,2022-02-05 00:57:48,54.3161,-130.3201,42.89,93,100,20.71,mist
247,Sinnar,SD,2022-02-05 00:57:49,13.5691,33.5672,66.76,15,98,15.61,overcast clouds
248,Cowansville,CA,2022-02-05 00:57:49,45.2001,-72.7491,12.27,85,100,4.61,snow
249,Aksu,CN,2022-02-05 00:57:50,41.1231,80.2644,25.9,71,97,5.86,overcast clouds
250,Mahajanga,MG,2022-02-05 00:57:50,-15.7167,46.3167,78.82,89,40,4.61,scattered clouds
251,Gunnedah,AU,2022-02-05 00:57:51,-30.9833,150.25,71.22,36,0,16.69,clear sky
252,Niquero,CU,2022-02-05 00:57:51,20.0431,-77.5828,75.92,77,15,7.83,few clouds
253,Kyabram,AU,2022-02-05 00:57:51,-36.3167,145.05,74.88,34,3,5.14,clear sky
254,Bengkulu,ID,2022-02-05 00:57:52,-3.8004,102.2655,73.81,91,100,2.91,overcast clouds
255,Puri,IN,2022-02-05 00:57:52,19.8,85.85,61.32,54,4,10.87,clear sky
256,Bilma,NE,2022-02-05 00:57:53,18.6853,12.9164,56.53,23,1,4.97,clear sky
257,Saskylakh,RU,2022-02-05 00:57:53,71.9167,114.0833,-8.48,99,99,5.23,overcast clouds
258,San Carlos,VE,2022-02-05 00:54:11,9.6612,-68.5827,76.66,63,9,5.01,clear sky
259,Opuwo,NA,2022-02-05 00:57:54,-18.0607,13.84,68.81,50,100,3.56,overcast clouds
260,Cordoba,AR,2022-02-05 00:55:45,-31.4135,-64.1811,71.76,60,20,6.91,few clouds
261,Uzventis,LT,2022-02-05 00:57:54,55.7803,22.6547,33.87,98,100,14.03,light snow
